fecha,temperatura,ley_T,humedad,ley_H,iluminancia,ley_I,oxigeno,ley_O
2025-09-10T02:40:15,36,-,38.56,-,1382.2,-,68.29,-
2025-09-10T02:40:05,36,-,39.37,-,1388.04,-,67.83,-
2025-09-10T02:39:55,36.23,-,38.02,-,1384.98,-,68.09,-
2025-09-10T02:39:55,36.23,-,38.02,-,1384.98,-,68.09,-
2025-09-10T02:39:45,36,-,38.02,-,1402.84,-,68.42,-
2025-09-10T02:39:35,36,-,38.7,-,1388.66,-,68.52,-
2025-09-10T02:39:25,36.26,-,39.67,-,1371.02,-,68.18,-
2025-09-10T02:39:25,36.26,-,39.67,-,1371.02,-,68.18,-
2025-09-10T02:39:15,37,-,38.69,-,1368.52,-,67.79,-
2025-09-10T02:39:05,36.68,-,38.37,-,1355.49,-,68.14,-
2025-09-10T02:38:55,37,-,37.21,-,1358.93,-,68.06,-
2025-09-10T02:38:55,37,-,37.21,-,1358.93,-,68.06,-
2025-09-10T02:38:45,37,-,36.81,-,1373.47,-,68.43,-
2025-09-10T02:38:35,36.9,-,37.62,-,1357.67,-,68.37,-
2025-09-10T02:38:25,37,-,38.17,-,1346.4,-,68.42,-
2025-09-10T02:38:25,37,-,38.17,-,1346.4,-,68.42,-
2025-09-10T02:38:15,37,-,37.11,-,1339.97,-,68.21,-
2025-09-10T02:38:05,37,-,37.46,-,1332.43,-,68.56,-
2025-09-10T02:38:05,37,-,37.46,-,1332.43,-,68.56,-
2025-09-10T02:37:55,37,-,36.29,-,1320.71,-,68.62,-
2025-09-10T02:37:45,36.58,-,35.14,-,1324.63,-,68.42,-
2025-09-10T02:37:35,36.23,-,36.43,-,1336.59,-,68.17,-
2025-09-10T02:37:35,36.23,-,36.43,-,1336.59,-,68.17,-
2025-09-10T02:37:25,36,-,35.71,-,1332.73,-,68.03,-
2025-09-10T02:37:15,36.2,-,35.98,-,1352.21,-,68.14,-
2025-09-10T02:37:15,36.2,-,35.98,-,1352.21,-,68.14,-
2025-09-10T02:37:05,36.55,-,35.02,-,1333.11,-,67.7,-
2025-09-10T02:36:55,36.63,-,35.95,-,1347.4,-,67.87,-
2025-09-10T02:36:45,36.58,-,34.94,-,1359.23,-,68.23,-
2025-09-10T02:36:35,36.86,-,35.97,-,1365.11,-,67.8,-
2025-09-10T02:36:35,36.86,-,35.97,-,1365.11,-,67.8,-
2025-09-10T02:36:25,36.42,-,36.67,-,1377.97,-,67.42,-
2025-09-10T02:36:15,37,-,35.92,-,1367.16,-,67.05,-
2025-09-10T02:36:05,37,-,34.98,-,1365.24,-,67.46,-
2025-09-10T02:36:05,37,-,34.98,-,1365.24,-,67.46,-
2025-09-10T02:35:55,36.83,-,36.02,-,1347.77,-,67.8,-
2025-09-10T02:35:45,36.52,-,37.26,-,1362.87,-,67.71,-
2025-09-10T02:35:35,36,-,38.29,-,1356.85,-,68.06,-
2025-09-10T02:35:25,36.67,-,37.98,-,1362.89,-,68.11,-
2025-09-10T02:35:25,36.67,-,37.98,-,1362.89,-,68.11,-
2025-09-10T02:35:15,36.28,-,36.6,-,1374.72,-,67.94,-
2025-09-10T02:35:05,36.29,-,36.6,-,1366.61,-,68.08,-
2025-09-10T02:34:55,36.71,-,36.69,-,1356.51,-,67.85,-
2025-09-10T02:34:45,36,-,35.74,-,1350.57,-,67.74,-
2025-09-10T02:34:35,36.03,-,36.66,-,1338.24,-,67.54,-
2025-09-10T02:34:25,36.76,-,36.86,-,1335.55,-,67.64,-
2025-09-10T02:34:25,36.76,-,36.86,-,1335.55,-,67.64,-
2025-09-10T02:34:15,37,-,36.57,-,1355.22,-,67.2,-
2025-09-10T02:34:05,37,-,37.28,-,1347.2,-,66.77,-
2025-09-10T02:33:55,37,-,36.72,-,1331.03,-,66.32,-
2025-09-10T02:33:45,37,-,36.71,-,1346.48,-,65.98,-
2025-09-10T02:33:45,37,-,36.71,-,1346.48,-,65.98,-
2025-09-10T02:33:35,36.5,-,37.31,-,1359.24,-,66.4,-
2025-09-10T02:33:25,36.33,-,37.8,-,1354.42,-,66.2,-
2025-09-10T02:33:15,37,-,36.98,-,1346.82,-,66.52,-
2025-09-10T02:33:05,37,-,37.56,-,1365.65,-,66.42,-
2025-09-10T02:32:55,36.79,-,38.72,-,1353.92,-,66.9,-
2025-09-10T02:32:55,36.79,-,38.72,-,1353.92,-,66.9,-
2025-09-10T02:32:45,36.46,-,39.47,-,1358.54,-,67.37,-
2025-09-10T02:32:35,36.12,-,39.37,-,1355.9,-,67.2,-
2025-09-10T02:32:35,36.12,-,39.37,-,1355.9,-,67.2,-
2025-09-10T02:32:25,36,-,39.08,-,1369.22,-,66.73,-
2025-09-10T02:32:15,36,-,40.51,-,1355.67,-,66.81,-
2025-09-10T02:32:05,36,-,40.94,-,1372.29,-,66.49,-
2025-09-10T02:32:05,36,-,40.94,-,1372.29,-,66.49,-
2025-09-10T02:31:55,36.22,-,40.18,-,1364.62,-,66.63,-
2025-09-10T02:31:45,36.48,-,40.99,-,1372.87,-,66.42,-
2025-09-10T02:31:45,36.48,-,40.99,-,1372.87,-,66.42,-
2025-09-10T02:31:35,36.09,-,41.09,-,1366.71,-,66.57,-
2025-09-10T02:31:35,36.09,-,41.09,-,1366.71,-,66.57,-
2025-09-10T02:31:25,36.56,-,42.03,-,1349.85,-,66.39,-
2025-09-10T02:31:14,36.3,-,43.03,-,1338.87,-,65.91,-
2025-09-10T02:31:04,36,-,42.66,-,1341.94,-,65.58,-
2025-09-10T02:31:04,36,-,42.66,-,1341.94,-,65.58,-
2025-09-10T02:30:54,36.29,-,43.94,-,1358.85,-,65.39,-
2025-09-10T02:30:44,36.62,-,42.89,-,1346.19,-,65.27,-
2025-09-10T02:30:34,36.61,-,43.97,-,1354.21,-,64.78,-
2025-09-10T02:30:34,36.61,-,43.97,-,1354.21,-,64.78,-
2025-09-10T02:30:24,36.46,-,44.45,-,1340.35,-,64.54,-
2025-09-10T02:30:14,36.66,-,44.12,-,1326.89,-,64.68,-
2025-09-10T02:30:14,36.66,-,44.12,-,1326.89,-,64.68,-
2025-09-10T02:30:04,36.41,-,43.38,-,1344.75,-,65.09,-
2025-09-10T02:30:04,36.41,-,43.38,-,1344.75,-,65.09,-
2025-09-10T02:29:54,36.25,-,42.59,-,1364.28,-,65.47,-
2025-09-10T02:29:54,36.25,-,42.59,-,1364.28,-,65.47,-
2025-09-10T02:29:44,36.68,-,42.68,-,1363.72,-,65.37,-
2025-09-10T02:29:44,36.68,-,42.68,-,1363.72,-,65.37,-
2025-09-10T02:29:34,36.32,-,42.86,-,1363.62,-,65.26,-
2025-09-10T02:29:24,36.58,-,43.06,-,1359.35,-,65.65,-
2025-09-10T02:29:14,36,-,42.0,-,1371.98,-,65.92,-
2025-09-10T02:29:04,36.57,-,41.3,-,1371.37,-,65.59,-
2025-09-10T02:29:04,36.57,-,41.3,-,1371.37,-,65.59,-
2025-09-10T02:28:54,36,-,40.77,-,1391.02,-,65.99,-
2025-09-10T02:28:44,36,-,41.88,-,1402.1,-,66.09,-
2025-09-10T02:28:34,36,-,41.54,-,1417.3,-,65.91,-
2025-09-10T02:28:24,36,-,41.17,-,1407.38,-,66.19,-
2025-09-10T02:28:14,36,-,40.6,-,1412.48,-,66.18,-
2025-09-10T02:28:14,36,-,40.6,-,1412.48,-,66.18,-
2025-09-10T02:28:04,36,-,39.42,-,1430.85,-,66.55,-
2025-09-10T02:27:54,36.19,-,40.8,-,1415.04,-,66.62,-
2025-09-10T02:27:54,36.19,-,40.8,-,1415.04,-,66.62,-
2025-09-10T02:27:44,36,-,39.5,-,1405.52,-,66.9,-
2025-09-10T02:27:34,36,-,40.68,-,1391.47,-,66.64,-
2025-09-10T02:27:34,36,-,40.68,-,1391.47,-,66.64,-
2025-09-10T02:27:24,36.42,-,40.6,-,1396.35,-,66.43,-
2025-09-10T02:27:14,36.07,-,41.39,-,1387.63,-,66.91,-
2025-09-10T02:27:14,36.07,-,41.39,-,1387.63,-,66.91,-
2025-09-10T02:27:04,36.61,-,40.16,-,1381.96,-,66.86,-
2025-09-10T02:26:54,36.71,-,40.76,-,1392.59,-,67.25,-
2025-09-10T02:26:44,37,-,41.62,-,1397.5,-,67.23,-
2025-09-10T02:26:44,37,-,41.62,-,1397.5,-,67.23,-
2025-09-10T02:26:34,36.56,-,40.73,-,1406.28,-,67.36,-
2025-09-10T02:26:24,36.9,-,40.79,-,1410.7,-,67.02,-
2025-09-10T02:26:24,36.9,-,40.79,-,1410.7,-,67.02,-
2025-09-10T02:26:14,36.23,-,40.84,-,1406.18,-,66.71,-
2025-09-10T02:26:04,36.74,-,40.52,-,1400.81,-,66.48,-
2025-09-10T02:26:04,36.74,-,40.52,-,1400.81,-,66.48,-
2025-09-10T02:25:54,37,-,41.67,-,1400.67,-,66.85,-
2025-09-10T02:25:44,37,-,40.58,-,1418.2,-,66.8,-
2025-09-10T02:25:44,37,-,40.58,-,1418.2,-,66.8,-
